"tract","Name","Teenage_Birth_Rate_women_only_rW_gF_p25"
24027601204,"Elkridge, MD",0.2019
24005491401,"Parkville, MD",0.2003
24510020300,"Fells Point, Baltimore, MD",0.1978
24005421101,"Baltimore, MD",0.1936
24510260302,"Belair - Edison, Baltimore, MD",0.1923
24005420800,"Dundalk, MD",0.1914
24005450900,"Essex, MD",0.1908
24005401101,"Woodlawn, MD",0.1889
24510280403,"Westgate, Baltimore, MD",0.1885
24003751200,"Linthicum Heights, MD",0.1863
24005440300,"Nottingham, MD",0.184
24003751102,"Glen Burnie, MD",0.183
24510270401,"Glenham-Belford, Baltimore, MD",0.1828
24005400701,"Catonsville, MD",0.1822
24510270805,"Mid-Govans, Baltimore, MD",0.1821
24005401507,"Windsor Mill, Baltimore, MD",0.1816
24005441000,"Baltimore, MD",0.1814
24510270200,"Lauraville, Baltimore, MD",0.1806
24510080101,"Belair - Edison, Baltimore, MD",0.1774
24510250102,"Yale Heights, Baltimore, MD",0.1773
24005440500,"Nottingham, MD",0.1733
24005440100,"Baltimore, MD",0.1717
24510260303,"Claremont - Freedom, Baltimore, MD",0.1709
24005400600,"Catonsville, MD",0.1685
24510270402,"Glenham-Belford, Baltimore, MD",0.1648
24510260202,"Parkside, Baltimore, MD",0.1596
24510280301,"Gwynn Oak, Baltimore, MD",0.158
24005400500,"Catonsville, MD",0.1572
24003750400,"Linthicum Heights, MD",0.1569
24005430800,"Halethorpe, MD",0.156
24005402506,"Randallstown, MD",0.1525
24510260301,"Belair - Edison, Baltimore, MD",0.1513
24027606707,"Columbia, MD",0.1504
24005440900,"Rosedale, MD",0.1479
24005430600,"Relay, Halethorpe, MD",0.1469
24510200800,"Irvington, Baltimore, MD",0.142
24005401503,"Catonsville, MD",0.1406
24510270102,"Waltherson, Baltimore, MD",0.1375
24005402406,"Windsor Mill, Milford Mill, MD",0.1358
24005403402,"Pikesville, MD",0.1337
24027602600,"Ellicott City, MD",0.1324
24027602800,"Ellicott City, MD",0.1316
24027601108,"Ellicott City, MD",0.1315
24510270703,"North Harford Road, Baltimore, MD",0.1304
24510271900,"Glen, Baltimore, MD",0.1274
24027602302,"Columbia, MD",0.1254
24027606606,"Long Reach, Columbia, MD",0.1245
24005451600,"Middle River, MD",0.1228
24005402202,"Baltimore County, MD",0.1216
24005401000,"Catonsville, MD",0.1215
24510270802,"Ramblewood, Baltimore, MD",0.1211
24027601105,"Ellicott City, MD",0.1144
24510270301,"Lauraville, Baltimore, MD",0.1092
24005420200,"Dundalk, MD",0.106
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.1059
24510270801,"Idlewood, Baltimore, MD",0.1048
24005403300,"Lochearn, Pikesville, MD",0.1039
24005402307,"Pikesville, MD",0.1028
24510270501,"Woodring, Baltimore, MD",0.1024
24027606706,"Kendall Ridge, Columbia, MD",0.1017
24027606604,"Columbia, MD",0.1005
24005401504,"Catonsville, MD",0.096
24510270302,"Waltherson, Baltimore, MD",0.0949
24005400400,"Catonsville, MD",0.0904
24005400200,"Catonsville, MD",0.0856
24005441101,"Rosedale, MD",0.0821
24510271400,"Evergreen, Baltimore, MD",0.0817
24005491300,"Baltimore, MD",0.0761
24027606607,"Long Reach, Columbia, MD",0.0717
24005403602,"Baltimore, MD",0.0704
24005451100,"Essex, MD",0.0668
24027601103,"West Elkridge, Elkridge, MD",0.0625
24027602100,"Ellicott City, MD",0.0617
24005421102,"Dundalk, MD",0.0612
24027601104,"Ellicott City, MD",0.0563
24510270502,"North Harford Road, Baltimore, MD",0.0562
24005490603,"Baltimore, MD",0.0548
24005402604,"Randallstown, MD",0.0534
24005403100,"Gwynn Oak, Pikesville, MD",0.0529
24005491100,"Baltimore, MD",0.0529
24510271300,"Roland Park, Baltimore, MD",0.0519
24510272004,"Cheswolde, Baltimore, MD",0.05
24510270101,"Arcadia, Baltimore, MD",0.0494
24005400900,"Catonsville, MD",0.0466
24510271102,"Mid-Charles, Baltimore, MD",0.0456
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.0429
24510271200,"Homeland, Baltimore, MD",0.0392
24005402504,"Randallstown, MD",0.0392
24005401200,"Woodlawn, MD",0.0366
24005401302,"Gwynn Oak, Baltimore, MD",0.036
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.0358
24510280401,"Baltimore, MD",0.0285
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.0282
24005403601,"Baltimore, MD",0.0247
24005400100,"Catonsville, MD",0.0206
24510220100,"Baltimore, MD",0.0166
24005403401,"Pikesville, MD",0.0149
24005490500,"Towson, MD",0.0131
24005403201,"Gwynn Oak, Lochearn, MD",0.013
24005403500,"Pikesville, MD",0.012
24510272007,"Fallstaff, Baltimore, MD",0.0069
24005402503,"Randallstown, MD",0.0064
24510110200,"Downtown, Baltimore, MD",0.0046
24510271501,"Mount Washington, Baltimore, MD",0.0024
24510272006,"Glen, Baltimore, MD",0.0003
24510272005,"Cross Country, Baltimore, MD",0.0002
24510272003,"Baltimore, MD",0
24005402407,"Windsor Mill, Milford Mill, MD",0
24005451701,"Middle River, MD",0
24005490601,"Baltimore, MD",0
24027602700,"Taylor Village, Ellicott City, MD",0
24510280500,"Pleasant View Gardens, Baltimore, MD",
24005402305,"Lochearn, Pikesville, MD",
24005492500,"Baltimore, MD",
24510180100,"Poppleton, Baltimore, MD",
24510160300,"Sandtown-Winchester, Baltimore, MD",
24510151200,"Park Circle, Baltimore, MD",
24510151000,"Dorchester, Baltimore, MD",
24510150800,"Garwyn Oaks, Baltimore, MD",
24510170200,"McCulloh Homes, Baltimore, MD",
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",
24510250203,"Cherry Hill, Baltimore, MD",
24510260402,"Frankford, Baltimore, MD",
24510270903,"Hillen, Baltimore, MD",
24005402304,"Gwynn Oak, Baltimore, MD",
24510150900,"Windsor Hills, Baltimore, MD",
24510280101,"Reisterstown Station, Baltimore, MD",
24510160700,"Rosemont, Baltimore, MD",
24510280402,"Rognel Heights, Baltimore, MD",
24510150200,"Sandtown-Winchester, Baltimore, MD",
24510070400,"Gay Street, Baltimore, MD",
24510260203,"Frankford, Baltimore, MD",
24510120202,"Baltimore, MD",
24510190100,"Franklin Square, Baltimore, MD",
24510200100,"Lexington, Baltimore, MD",
24005402306,"Windsor Mill, Baltimore, MD",
24510140300,"Druid Heights, Baltimore, MD",
24510090400,"Better Waverly, Baltimore, MD",
24510120500,"Greenmount West, Baltimore, MD",
24510080800,"Broadway East, Baltimore, MD",
24510150400,"Mondawmin, Baltimore, MD",
24510270901,"New Northwood, Baltimore, MD",
24510090500,"Better Waverly, Baltimore, MD",
24510030200,"Little Italy, Baltimore, MD",
24510250600,"Brooklyn, Baltimore, MD",
24510130400,"Woodbrook, Baltimore, MD",
24510260403,"Cedonia, Baltimore, MD",
24510151300,"Central Park Heights, Baltimore, MD",
24510280102,"Gwynn Oak, Baltimore, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510250207,"Cherry Hill, Baltimore, MD",
24510200400,"Shipley Hill, Baltimore, MD",
24510170300,"Upton, Baltimore, MD",
24005403202,"Gwynn Oak, Baltimore, MD",
24510110100,"Downtown, Baltimore, MD",
24510120600,"Old Goucher, Baltimore, MD",
24510040100,"Downtown, Baltimore, MD",
24510160400,"Midtown Edmondson, Baltimore, MD",
24510270902,"Perring Loch, Baltimore, MD",
24510150702,"Walbrook, Baltimore, MD",
24510150300,"Coppin Heights, Baltimore, MD",
24510271002,"Winston - Govans, Baltimore, MD",
24510200200,"Lexington, Baltimore, MD",
24510080400,"Broadway East, Baltimore, MD",
24510271600,"Edgecomb, Baltimore, MD",
24005402403,"Gwynn Oak, Baltimore, MD",
24510150600,"NW Community Action, Baltimore, MD",
24510280302,"West Forest Park, Baltimore, MD",
24510080200,"Broadway East, Baltimore, MD",
24510271101,"Radnor - Winston, Baltimore, MD",
24510120300,"Harwood, Baltimore, MD",
24510160801,"Edmondson, Baltimore, MD",
24510130200,"Reservoir Hill, Baltimore, MD",
24510100100,"Johnson Square, Baltimore, MD",
24510150100,"Sandtown-Winchester, Baltimore, MD",
24510140200,"Upton, Baltimore, MD",
24510160600,"Mosher, Baltimore, MD",
24510080500,"Darley Park, Baltimore, MD",
24510170100,"Downtown, Baltimore, MD",
24510271001,"Baltimore, MD",
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",
24510250204,"Cherry Hill, Baltimore, MD",
24510180200,"Poppleton, Baltimore, MD",
24510271801,"Arlington, Baltimore, MD",
24510200702,"Saint Joseph's, Baltimore, MD",
24510080102,"Belair - Edison, Baltimore, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",
24510100200,"Baltimore, MD",
24510150500,"Burleith-Leighton, Baltimore, MD",
24510070300,"Milton - Montford, Baltimore, MD",
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",
24510030100,"Perkins Homes, Baltimore, MD",
24510130300,"Penn North, Baltimore, MD",
24510150701,"Hanlon Longwood, Baltimore, MD",
24510080700,"Broadway East, Baltimore, MD",
24510090900,"Oliver, Baltimore, MD",
24510090800,"East Baltimore Midway, Baltimore, MD",
24510280200,"Gwynn Oak, Baltimore, MD",
24005401102,"Gwynn Oak, Woodlawn, MD",
24510130100,"Reservoir Hill, Baltimore, MD",
24510151100,"East Arlington, Baltimore, MD",
24005402302,"Windsor Mill, Milford Mill, MD",
24510280404,"Irvington, Baltimore, MD",
24510200701,"Allendale, Baltimore, MD",
24510060400,"Baltimore, MD",
24510080301,"Berea, Baltimore, MD",
24510271700,"Central Park Heights, Baltimore, MD",
24510271503,"Cross Keys, Baltimore, MD",
24510160200,"Sandtown-Winchester, Baltimore, MD",
24510040200,"Downtown, Baltimore, MD",
24510160802,"Edmondson, Baltimore, MD",
24510080302,"Berea, Baltimore, MD",
24510271802,"Langston Hughes, Baltimore, MD",
24510080600,"Broadway East, Baltimore, MD",
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",
24510160100,"Harlem Park, Baltimore, MD",
24510130805,"Cold Springs, Baltimore, MD",
24510120400,"Barclay, Baltimore, MD",
